work,location,time,miles
121 Chanlon Road New Providence NJ,Absecon,1 h 53 min,115 miles
117 Seber Road Hackettstown NJ,Absecon,2 h 26 min,151 miles
121 Chanlon Road New Providence NJ,Allamuchy,56 min,33.7 miles
117 Seber Road Hackettstown NJ,Allamuchy,9 min,5.4 miles
121 Chanlon Road New Providence NJ,Allendale,56 min,46.2 miles
117 Seber Road Hackettstown NJ,Allendale,1 h 26 min,66.2 miles
121 Chanlon Road New Providence NJ,Allenhurst,1 h 10 min,62.0 miles
117 Seber Road Hackettstown NJ,Allenhurst,1 h 41 min,92.2 miles
121 Chanlon Road New Providence NJ,Allentown,1 h 6 min,50.0 miles
117 Seber Road Hackettstown NJ,Allentown,1 h 37 min,94.9 miles
121 Chanlon Road New Providence NJ,Allenwood,1 h 7 min,52.5 miles
117 Seber Road Hackettstown NJ,Allenwood,1 h 35 min,94.4 miles
121 Chanlon Road New Providence NJ,Alloway,2 h 6 min,122 miles
117 Seber Road Hackettstown NJ,Alloway,2 h 47 min,133 miles
121 Chanlon Road New Providence NJ,Alpha,47 min,43.9 miles
117 Seber Road Hackettstown NJ,Alpha,43 min,25.9 miles
121 Chanlon Road New Providence NJ,Alpine,1 h 1 min,41.0 miles
117 Seber Road Hackettstown NJ,Alpine,1 h 36 min,75.7 miles
121 Chanlon Road New Providence NJ,Anderson,1 h 1 min,34.4 miles
117 Seber Road Hackettstown NJ,Anderson,21 min,10.6 miles
121 Chanlon Road New Providence NJ,Andover,56 min,42.4 miles
117 Seber Road Hackettstown NJ,Andover,28 min,16.2 miles
121 Chanlon Road New Providence NJ,Annandale,43 min,33.4 miles
117 Seber Road Hackettstown NJ,Annandale,37 min,18.7 miles
121 Chanlon Road New Providence NJ,Asbury,43 min,39.4 miles
117 Seber Road Hackettstown NJ,Asbury,32 min,19.0 miles
121 Chanlon Road New Providence NJ,Asbury Park,1 h 9 min,50.1 miles
117 Seber Road Hackettstown NJ,Asbury Park,Crash on Garden State Pkwy causing 10-min delay,92.0 miles
121 Chanlon Road New Providence NJ,Ashland,1 h 31 min,89.2 miles
117 Seber Road Hackettstown NJ,Ashland,1 h 53 min,96.9 miles
121 Chanlon Road New Providence NJ,Atlantic City,Fastest route, despite crash on Garden State Pkwy causing 7-min delay,126 miles
117 Seber Road Hackettstown NJ,Atlantic City,2 h 54 min,141 miles
121 Chanlon Road New Providence NJ,Atlantic Highlands,1 h 4 min,46.3 miles
117 Seber Road Hackettstown NJ,Atlantic Highlands,Crash on Garden State Pkwy causing 11-min delay,82.7 miles
121 Chanlon Road New Providence NJ,Audubon,1 h 39 min,93.2 miles
117 Seber Road Hackettstown NJ,Audubon,2 h 7 min,88.5 miles
121 Chanlon Road New Providence NJ,Audubon Park,1 h 40 min,94.7 miles
117 Seber Road Hackettstown NJ,Audubon Park,Crash on Garden State Pkwy causing 11-min delay,130 miles
121 Chanlon Road New Providence NJ,Avalon,2 h 17 min,136 miles
117 Seber Road Hackettstown NJ,Avalon,3 h 11 min,160 miles
121 Chanlon Road New Providence NJ,Avenel,Crash on Garden State Pkwy causing 7-min delay,26.5 miles
117 Seber Road Hackettstown NJ,Avenel,Crash on Garden State Pkwy causing 11-min delay,63.0 miles
121 Chanlon Road New Providence NJ,Avon-by-the-Sea,1 h 10 min,51.6 miles
117 Seber Road Hackettstown NJ,Avon-by-the-Sea,Crash on Garden State Pkwy causing 12-min delay,93.5 miles
121 Chanlon Road New Providence NJ,Barclay,1 h 30 min,77.2 miles
117 Seber Road Hackettstown NJ,Barclay,1 h 51 min,94.7 miles
121 Chanlon Road New Providence NJ,Barnegat,1 h 27 min,79.2 miles
117 Seber Road Hackettstown NJ,Barnegat,Crash on Garden State Pkwy causing 11-min delay,124 miles
121 Chanlon Road New Providence NJ,Barnegat Light,2 h 37 min,120 miles
117 Seber Road Hackettstown NJ,Barnegat Light,Crash on Garden State Pkwy causing 11-min delay,142 miles
121 Chanlon Road New Providence NJ,Barrington,1 h 37 min,93.8 miles
117 Seber Road Hackettstown NJ,Barrington,2 h 4 min,92.6 miles
121 Chanlon Road New Providence NJ,Bay Head,1 h 17 min,58.5 miles
117 Seber Road Hackettstown NJ,Bay Head,Crash on Garden State Pkwy causing 12-min delay,100 miles
121 Chanlon Road New Providence NJ,Bayonne,39 min,22.2 miles
117 Seber Road Hackettstown NJ,Bayonne,1 h 13 min,55.8 miles
121 Chanlon Road New Providence NJ,Beach Haven,2 h 35 min,119 miles
